"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
4,2,25,25,0.9949459497,0.0202144219,0.9902573797,0.0304485059
4,3,25,25,0.9939632177,0.0239678739,0.9898211429,0.0333150992
4,4,25,25,0.9938228275,0.0223958386,0.9901119674,0.0338897071
0,0,25,50,0.9940236275,0.0210343671,0.987803086,0.0363336947
0,1,25,50,0.99485754,0.0190490147,0.9869213813,0.0383153816
0,2,25,50,0.9941626129,0.0207402758,0.9873622337,0.0381463498
0,3,25,50,0.9943015983,0.0194559295,0.9898603968,0.033881911
0,4,25,50,0.9934676859,0.0224270766,0.9888317414,0.0358803511
1,0,25,50,0.9944475292,0.0226046711,0.9885226604,0.0376299271
1,1,25,50,0.9934758468,0.0244490713,0.9879340789,0.0415235421
1,2,25,50,0.9947251527,0.0219876154,0.9905826957,0.0338531555
1,3,25,50,0.9922265408,0.0283931705,0.9891112419,0.0359326585
1,4,25,50,0.9930594114,0.0246061677,0.9905826957,0.0338482597
2,0,25,50,0.994253679,0.0183446442,0.9911143481,0.0299842235
2,1,25,50,0.9949544499,0.0171681169,0.991405681,0.0290157139
2,2,25,50,0.9948142957,0.0165991394,0.9922796795,0.0279622811
2,3,25,50,0.9939733707,0.0197564969,0.991405681,0.0298982825
2,4,25,50,0.9948142957,0.0161613811,0.9922796795,0.0276707324
3,0,25,50,0.9951287404,0.0178641705,0.9892883346,0.0319225601
3,1,25,50,0.9949895616,0.0189065095,0.9898752751,0.0327271332
3,2,25,50,0.9945720251,0.0188864908,0.9889948643,0.0320385863
3,3,25,50,0.9945720251,0.0199724768,0.9889948643,0.0337302544
3,4,25,50,0.9897007655,0.0322072549,0.9903154806,0.0320720191
4,0,25,50,0.9908746315,0.0277424899,0.9904027919,0.0335758407
4,1,25,50,0.994103608,0.0219299166,0.9898211429,0.0323771992
4,2,25,50,0.9939632177,0.0214112891,0.9902573797,0.0322864289
4,3,25,50,0.9942439983,0.0224527716,0.9895303185,0.0341542999
4,4,25,50,0.9936824372,0.0222644496,0.9898211429,0.0315431302
0,0,25,75,0.9951355108,0.018536287,0.9879500367,0.0360429756
0,1,25,75,0.9951355108,0.016949572,0.9888317414,0.0323985595
0,2,25,75,0.9926337735,0.0241184095,0.9894195445,0.036717296
0,3,25,75,0.9930507297,0.0226863035,0.987803086,0.035957106
0,4,25,75,0.99485754,0.019246625,0.9886847906,0.0370087526
1,0,25,75,0.9940310938,0.0227871341,0.9894055327,0.0341999804
1,1,25,75,0.9940310938,0.0214917375,0.9880812243,0.03848487
1,2,25,75,0.9940310938,0.0241158828,0.9907298411,0.0325920865
1,3,25,75,0.9937534703,0.0239050832,0.988375515,0.0367200764
1,4,25,75,0.9938922821,0.0206253554,0.9886698058,0.034965068
2,0,25,75,0.9946741416,0.0166746472,0.9918426803,0.0283350816
2,1,25,75,0.9929922915,0.0219914387,0.9908230153,0.0290467817
2,2,25,75,0.9953749124,0.0176173788,0.9916970138,0.033355523
2,3,25,75,0.9945339874,0.0199835577,0.9909686817,0.0300730534
2,4,25,75,0.9952347582,0.0174520157,0.991405681,0.0287270502
3,0,25,75,0.9942936674,0.0208617325,0.9906089508,0.0298183459
3,1,25,75,0.995546277,0.0164471421,0.9878209831,0.0341378008
3,2,25,75,0.9947112039,0.0217037573,0.9895818048,0.0321708109
3,3,25,75,0.9944328462,0.0191509764,0.9903154806,0.0314379146
3,4,25,75,0.9728601253,0.0780861517,0.9889948643,0.031915005
4,0,25,75,0.9946651692,0.0194369608,0.9902573797,0.0341443626
4,1,25,75,0.9948055595,0.0208359084,0.9893849062,0.0345161883
4,2,25,75,0.9945247789,0.0190000329,0.9901119674,0.0310597841
4,3,25,75,0.9942439983,0.021596539,0.9893849062,0.0339601135
4,4,25,75,0.9918573635,0.0285533179,0.9895303185,0.0333312974
0,0,25,100,0.9944405837,0.0192549855,0.9898603968,0.0356390119
0,1,25,100,0.9930507297,0.0250087697,0.9880969875,0.0347483174
0,2,25,100,0.9952744962,0.0186850425,0.9895664952,0.0344520347
