Run Number,Mutation Number,Percentage,Std_Percentage,Loss,Accuracy
2,1,85,100,2.047998553,0.407833333
2,2,85,100,2.227318306,0.383
2,3,85,100,1.924535413,0.420333333
2,4,85,100,1.715249682,0.441
3,0,85,100,1.903499326,0.42875
3,1,85,100,1.598322046,0.484333333
3,2,85,100,1.855219939,0.441666667
3,3,85,100,1.806184561,0.466833333
3,4,85,100,2.203526203,0.409166667
4,0,85,100,1.692400078,0.466666667
4,1,85,100,2.383763823,0.35425
4,2,85,100,2.10183559,0.396
4,3,85,100,2.143000149,0.389833333
4,4,85,100,1.8222206,0.435666667
0,0,90,25,2.160047899,0.336916667
0,1,90,25,2.386511842,0.295
0,2,90,25,1.99339942,0.329583333
0,3,90,25,2.454626383,0.307083333
0,4,90,25,1.818105458,0.395083333
1,0,90,25,2.69362776,0.26825
